Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","11","Austria","5611","Import Quantity","2901","Grand Total","2018","2018","","","",""
"FBS","Food Balances (2010-)","11","Austria","5911","Export Quantity","2901","Grand Total","2018","2018","","","",""
"FBS","Food Balances (2010-)","11","Austria","5301","Domestic supply quantity","2901","Grand Total","2018","2018","","","",""
"FBS","Food Balances (2010-)","11","Austria","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","3699","Fc","Calculated data"
"FBS","Food Balances (2010-)","11","Austria","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","109.71","Fc","Calculated data"
"FBS","Food Balances (2010-)","11","Austria","5511","Production","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","11","Austria","5611","Import Quantity","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","11","Austria","5911","Export Quantity","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","11","Austria","5301","Domestic supply quantity","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","11","Austria","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","1193","Fc","Calculated data"
"FBS","Food Balances (2010-)","11","Austria","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","65.98","Fc","Calculated data"
"FBS","Food Balances (2010-)","11","Austria","5511","Production","2734","Poultry Meat","2018","2018","1000 tonnes","152","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","11","Austria","5611","Import Quantity","2734","Poultry Meat","2018","2018","1000 tonnes","114","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","11","Austria","5911","Export Quantity","2734","Poultry Meat","2018","2018","1000 tonnes","83","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","11","Austria","5301","Domestic supply quantity","2734","Poultry Meat","2018","2018","1000 tonnes","183","S","Standardized data"
"FBS","Food Balances (2010-)","11","Austria","664","Food supply (kcal/capita/day)","2734","Poultry Meat","2018","2018","kcal/capita/day","66","Fc","Calculated data"
"FBS","Food Balances (2010-)","11","Austria","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2018","2018","g/capita/day","7.67","Fc","Calculated data"
"FBS","Food Balances (2010-)","52","Azerbaijan","5511","Production","2901","Grand Total","2018","2018","","","",""
"FBS","Food Balances (2010-)","52","Azerbaijan","5611","Import Quantity","2901","Grand Total","2018","2018","","","",""
"FBS","Food Balances (2010-)","52","Azerbaijan","5911","Export Quantity","2901","Grand Total","2018","2018","","","",""
"FBS","Food Balances (2010-)","52","Azerbaijan","5301","Domestic supply quantity","2901","Grand Total","2018","2018","","","",""
"FBS","Food Balances (2010-)","52","Azerbaijan","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","3145","Fc","Calculated data"
"FBS","Food Balances (2010-)","52","Azerbaijan","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","94.62","Fc","Calculated data"
"FBS","Food Balances (2010-)","52","Azerbaijan","5511","Production","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","52","Azerbaijan","5611","Import Quantity","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","52","Azerbaijan","5911","Export Quantity","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","52","Azerbaijan","5301","Domestic supply quantity","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","52","Azerbaijan","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","575","Fc","Calculated data"
"FBS","Food Balances (2010-)","52","Azerbaijan","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","33.58","Fc","Calculated data"
